date,open,high,low,close,volume
2022-08-31 10:00:00+00:00,20175.0,20406.0,20168.0,20335.0,15.3841
2022-08-31 11:00:00+00:00,20336.0,20383.0,20264.0,20316.0,8.0529
2022-08-31 12:00:00+00:00,20312.0,20418.0,20195.0,20306.0,81.8834
2022-08-31 13:00:00+00:00,20305.0,20428.0,20218.0,20307.0,394.1898
2022-08-31 14:00:00+00:00,20308.0,20342.0,20095.0,20095.0,175.4767
2022-08-31 15:00:00+00:00,20093.0,20164.0,19867.0,20142.0,289.036
2022-08-31 16:00:00+00:00,20139.0,20209.0,20011.0,20036.0,154.3864
2022-08-31 17:00:00+00:00,20035.0,20139.0,19885.0,19985.0,158.6556
2022-08-31 18:00:00+00:00,19976.0,20042.0,19940.0,19999.0,36.8182
2022-08-31 19:00:00+00:00,19994.0,20321.0,19991.0,20246.0,201.7867
2022-08-31 20:00:00+00:00,20230.0,20238.0,20160.0,20194.0,32.7271
2022-08-31 21:00:00+00:00,20192.0,20284.0,20166.0,20275.0,19.8907
2022-08-31 22:00:00+00:00,20275.0,20285.0,20086.0,20153.0,42.9933
2022-08-31 23:00:00+00:00,20152.0,20152.0,19963.0,20050.0,51.0375
2022-09-01 00:00:00+00:00,20049.0,20132.0,19918.0,20055.0,37.1831
2022-09-01 01:00:00+00:00,20058.0,20178.0,20053.0,20122.0,22.1468
2022-09-01 02:00:00+00:00,20124.0,20199.0,20072.0,20119.0,13.3694
2022-09-01 03:00:00+00:00,20117.0,20174.0,19930.0,20016.0,64.8841
2022-09-01 04:00:00+00:00,20018.0,20092.0,19992.0,20048.0,15.3641
2022-09-01 05:00:00+00:00,20049.0,20131.0,20035.0,20044.0,43.305
2022-09-01 06:00:00+00:00,20041.0,20052.0,19950.0,19980.0,32.5514
2022-09-01 07:00:00+00:00,19973.0,19974.0,19788.0,19893.0,119.0574
2022-09-01 08:00:00+00:00,19894.0,19930.0,19821.0,19924.0,26.3795
2022-09-01 09:00:00+00:00,19925.0,19976.0,19830.0,19929.0,37.0164
2022-09-01 10:00:00+00:00,19928.0,20033.0,19919.0,20025.0,16.7239
2022-09-01 11:00:00+00:00,20023.0,20118.0,19979.0,20071.0,26.7528
2022-09-01 12:00:00+00:00,20074.0,20095.0,19891.0,19993.0,79.6558
2022-09-01 13:00:00+00:00,19994.0,20046.0,19910.0,19959.0,61.1443
2022-09-01 14:00:00+00:00,19965.0,19984.0,19662.0,19691.0,306.4738
2022-09-01 15:00:00+00:00,19693.0,19838.0,19650.0,19782.0,112.0938
2022-09-01 16:00:00+00:00,19781.0,19818.0,19555.0,19657.0,209.1058
2022-09-01 17:00:00+00:00,19657.0,19935.0,19634.0,19723.0,322.5236
2022-09-01 18:00:00+00:00,19723.0,19936.0,19701.0,19813.0,141.7678
2022-09-01 19:00:00+00:00,19810.0,19897.0,19782.0,19874.0,86.1809
2022-09-01 20:00:00+00:00,19873.0,20092.0,19844.0,20069.0,141.4544
2022-09-01 21:00:00+00:00,20068.0,20156.0,20037.0,20087.0,121.2109
2022-09-01 22:00:00+00:00,20087.0,20183.0,20070.0,20075.0,72.5436
2022-09-01 23:00:00+00:00,20075.0,20144.0,20058.0,20125.0,62.4789
2022-09-02 00:00:00+00:00,20131.0,20131.0,20048.0,20070.0,25.7172
2022-09-02 01:00:00+00:00,20069.0,20091.0,20010.0,20048.0,26.2809
2022-09-02 02:00:00+00:00,20048.0,20070.0,19955.0,20030.0,66.6849
2022-09-02 03:00:00+00:00,20030.0,20249.0,20030.0,20154.0,198.3086
2022-09-02 04:00:00+00:00,20156.0,20285.0,20140.0,20160.0,60.9388
2022-09-02 05:00:00+00:00,20159.0,20170.0,20083.0,20123.0,44.808
2022-09-02 06:00:00+00:00,20121.0,20130.0,20067.0,20107.0,5.592
2022-09-02 07:00:00+00:00,20106.0,20118.0,20045.0,20111.0,11.0771
2022-09-02 08:00:00+00:00,20109.0,20129.0,20075.0,20097.0,5.3683
2022-09-02 09:00:00+00:00,20092.0,20157.0,20075.0,20132.0,4.7018
2022-09-02 10:00:00+00:00,20131.0,20166.0,20040.0,20066.0,6.5331
2022-09-02 11:00:00+00:00,20066.0,20097.0,19995.0,20088.0,45.7929
2022-09-02 12:00:00+00:00,20087.0,20362.0,20029.0,20282.0,186.8666
2022-09-02 13:00:00+00:00,20283.0,20400.0,20251.0,20266.0,85.432
2022-09-02 14:00:00+00:00,20274.0,20438.0,20206.0,20365.0,116.5822
2022-09-02 15:00:00+00:00,20368.0,20399.0,20289.0,20356.0,36.922
2022-09-02 16:00:00+00:00,20357.0,20379.0,20098.0,20129.0,117.887
2022-09-02 17:00:00+00:00,20117.0,20119.0,19767.0,19803.0,334.2503
2022-09-02 18:00:00+00:00,19797.0,20066.0,19746.0,19936.0,355.3819
2022-09-02 19:00:00+00:00,19939.0,19989.0,19790.0,19916.0,96.7424
2022-09-02 20:00:00+00:00,19915.0,19974.0,19862.0,19969.0,30.9795
2022-09-02 21:00:00+00:00,19966.0,20017.0,19929.0,19974.0,41.8665
2022-09-02 22:00:00+00:00,19973.0,20013.0,19878.0,19990.0,35.6493
2022-09-02 23:00:00+00:00,19990.0,20001.0,19925.0,19954.0,3.8215
2022-09-03 00:00:00+00:00,19954.0,20050.0,19927.0,20003.0,37.5197
2022-09-03 01:00:00+00:00,20006.0,20006.0,19932.0,19953.0,8.7333
2022-09-03 02:00:00+00:00,19951.0,19965.0,19896.0,19938.0,55.5611
2022-09-03 03:00:00+00:00,19938.0,19938.0,19872.0,19896.0,16.4876
2022-09-03 04:00:00+00:00,19896.0,19935.0,19887.0,19924.0,3.508
2022-09-03 05:00:00+00:00,19924.0,19963.0,19923.0,19942.0,7.7155
2022-09-03 06:00:00+00:00,19943.0,19947.0,19828.0,19884.0,65.5526
2022-09-03 07:00:00+00:00,19885.0,19900.0,19750.0,19815.0,18.5867
2022-09-03 08:00:00+00:00,19814.0,19851.0,19766.0,19786.0,69.9262
2022-09-03 09:00:00+00:00,19785.0,19817.0,19734.0,19794.0,12.0562
2022-09-03 10:00:00+00:00,19794.0,19863.0,19793.0,19849.0,12.7018
2022-09-03 11:00:00+00:00,19847.0,19852.0,19774.0,19797.0,17.6881
2022-09-03 12:00:00+00:00,19798.0,19854.0,19789.0,19850.0,8.4223
2022-09-03 13:00:00+00:00,19849.0,19898.0,19823.0,19863.0,7.7872
2022-09-03 14:00:00+00:00,19863.0,19863.0,19779.0,19814.0,58.3959
2022-09-03 15:00:00+00:00,19813.0,19828.0,19747.0,19766.0,28.3783
2022-09-03 16:00:00+00:00,19767.0,19833.0,19767.0,19792.0,41.7929
2022-09-03 17:00:00+00:00,19792.0,19823.0,19755.0,19816.0,12.2711
2022-09-03 18:00:00+00:00,19814.0,19828.0,19744.0,19750.0,29.7238
2022-09-03 19:00:00+00:00,19749.0,19807.0,19661.0,19708.0,78.6167
2022-09-03 20:00:00+00:00,19708.0,19744.0,19677.0,19742.0,48.2461
2022-09-03 21:00:00+00:00,19742.0,19773.0,19729.0,19752.0,16.9496
2022-09-03 22:00:00+00:00,19753.0,19824.0,19753.0,19797.0,73.1627
2022-09-03 23:00:00+00:00,19796.0,19839.0,19765.0,19833.0,3.489
2022-09-04 00:00:00+00:00,19833.0,19861.0,19811.0,19811.0,1.7581
2022-09-04 01:00:00+00:00,19813.0,19835.0,19778.0,19783.0,1.5958
2022-09-04 02:00:00+00:00,19783.0,19812.0,19772.0,19789.0,3.8892
2022-09-04 03:00:00+00:00,19789.0,19809.0,19742.0,19770.0,1.7647
2022-09-04 04:00:00+00:00,19770.0,19804.0,19756.0,19802.0,3.6308
2022-09-04 05:00:00+00:00,19801.0,19804.0,19764.0,19766.0,1.5137
2022-09-04 06:00:00+00:00,19766.0,19782.0,19686.0,19701.0,14.9151
2022-09-04 07:00:00+00:00,19699.0,19722.0,19625.0,19638.0,68.5772
2022-09-04 08:00:00+00:00,19634.0,19758.0,19599.0,19739.0,31.1652
2022-09-04 09:00:00+00:00,19738.0,19824.0,19738.0,19775.0,9.8184
2022-09-04 10:00:00+00:00,19775.0,19799.0,19750.0,19759.0,4.2656
2022-09-04 11:00:00+00:00,19759.0,19848.0,19707.0,19845.0,13.154
2022-09-04 12:00:00+00:00,19858.0,19925.0,19779.0,19876.0,31.2335
2022-09-04 13:00:00+00:00,19875.0,19885.0,19694.0,19711.0,94.8728
2022-09-04 14:00:00+00:00,19711.0,19751.0,19655.0,19750.0,8.8828
2022-09-04 15:00:00+00:00,19750.0,19791.0,19691.0,19791.0,6.0313
2022-09-04 16:00:00+00:00,19791.0,19919.0,19725.0,19896.0,88.7674
2022-09-04 17:00:00+00:00,19892.0,19948.0,19835.0,19838.0,74.9945
2022-09-04 18:00:00+00:00,19838.0,19878.0,19803.0,19849.0,8.7966
2022-09-04 19:00:00+00:00,19849.0,19922.0,19824.0,19889.0,113.6549
2022-09-04 20:00:00+00:00,19889.0,19922.0,19871.0,19906.0,124.1219
2022-09-04 21:00:00+00:00,19906.0,19932.0,19851.0,19861.0,171.3375
2022-09-04 22:00:00+00:00,19862.0,19881.0,19829.0,19835.0,35.5559
2022-09-04 23:00:00+00:00,19835.0,20025.0,19831.0,20007.0,114.1182
2022-09-05 00:00:00+00:00,20007.0,20060.0,19889.0,19917.0,266.5741
2022-09-05 01:00:00+00:00,19917.0,19969.0,19819.0,19839.0,7.755
2022-09-05 02:00:00+00:00,19840.0,19867.0,19817.0,19860.0,43.7386
2022-09-05 03:00:00+00:00,19860.0,19908.0,19818.0,19886.0,12.2614
2022-09-05 04:00:00+00:00,19886.0,19904.0,19844.0,19892.0,15.5612
2022-09-05 05:00:00+00:00,19892.0,19892.0,19677.0,19725.0,120.9798
2022-09-05 06:00:00+00:00,19725.0,19796.0,19705.0,19786.0,52.9538
2022-09-05 07:00:00+00:00,19787.0,19797.0,19714.0,19749.0,19.0039
2022-09-05 08:00:00+00:00,19752.0,19791.0,19727.0,19782.0,14.5294
2022-09-05 09:00:00+00:00,19782.0,19804.0,19732.0,19770.0,7.9032
2022-09-05 10:00:00+00:00,19770.0,19785.0,19659.0,19696.0,19.4942
2022-09-05 11:00:00+00:00,19695.0,19718.0,19640.0,19699.0,48.4524
2022-09-05 12:00:00+00:00,19699.0,19751.0,19669.0,19730.0,10.7242
2022-09-05 13:00:00+00:00,19729.0,19781.0,19716.0,19742.0,11.4683
2022-09-05 14:00:00+00:00,19742.0,19873.0,19729.0,19847.0,116.6382
2022-09-05 15:00:00+00:00,19847.0,19944.0,19843.0,19856.0,68.8554
2022-09-05 16:00:00+00:00,19856.0,19907.0,19824.0,19847.0,19.7799
2022-09-05 17:00:00+00:00,19847.0,19857.0,19780.0,19824.0,26.343
2022-09-05 18:00:00+00:00,19826.0,19846.0,19676.0,19739.0,164.3015
2022-09-05 19:00:00+00:00,19740.0,19772.0,19695.0,19710.0,26.377
2022-09-05 20:00:00+00:00,19708.0,19791.0,19701.0,19744.0,51.0823
2022-09-05 21:00:00+00:00,19745.0,19794.0,19702.0,19749.0,27.3002
2022-09-05 22:00:00+00:00,19750.0,19820.0,19726.0,19810.0,63.5288
2022-09-05 23:00:00+00:00,19810.0,19868.0,19757.0,19794.0,45.7693
2022-09-06 00:00:00+00:00,19796.0,20171.0,19784.0,20101.0,306.6162
2022-09-06 01:00:00+00:00,20102.0,20173.0,19765.0,19769.0,270.8948
2022-09-06 02:00:00+00:00,19772.0,19827.0,19676.0,19815.0,514.9902
2022-09-06 03:00:00+00:00,19818.0,19824.0,19708.0,19780.0,30.9241
2022-09-06 04:00:00+00:00,19791.0,19853.0,19762.0,19762.0,66.1438
